	3399-OG-10	3399-OG-13	3399-OG-14	3399-OG-15	3399-OG-16	3399-OG-19	3399-OG-20	3399-OG-31	3399-OG-32	3399-OG-33	3399-OG-34	3399-OG-9
AL133343.1	0	0	0	0	0	0	0	0	0	0	0	0
C20orf203	0	0	0	0	0	0	0	0	0	0	0	0
FO393400.1	0	0	1	0	0	0	0	0	0	0	0	0
BAK1P1	0	0	0	0	0	0	0	0	0	0	0	1
COMMD7	57	79	65	52	26	25	16	67	52	54	59	60
DNMT3B	0	1	1	0	0	0	0	0	0	0	0	0
MAPRE1	285	279	306	56	291	153	67	419	144	379	353	267
AL035071.2	0	12	2	7	3	1	1	5	9	4	7	4
AL035071.1	55	59	64	22	13	18	5	19	29	15	18	92
EFCAB8	0	0	0	0	0	0	0	0	0	0	0	0
SUN5	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB2	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB6	0	0	0	0	0	0	0	0	0	0	0	0
PUDPP3	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB3	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB4	0	0	0	0	0	0	0	0	0	0	0	0
BPIFA2	0	0	0	0	0	0	0	0	0	0	0	0
SOCS2P1	0	0	0	0	0	0	0	0	0	0	0	0
BPIFA4P	0	0	0	0	0	0	0	0	0	0	0	0
AL121901.1	0	0	0	0	0	0	0	0	0	0	0	0
BPIFA3	0	0	0	0	0	0	0	0	0	0	0	0
BPIFA1	0	0	0	0	0	0	0	0	0	0	0	0
RPL12P3	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB1	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB5P	0	0	0	0	0	0	0	0	0	0	0	0
BPIFB9P	0	0	0	0	0	0	0	0	0	0	0	1
CDK5RAP1	53	51	48	10	7	9	6	30	28	30	28	58
SNTA1	9	13	10	0	1	3	2	4	4	3	1	16
CBFA2T2	22	56	68	9	8	16	1	81	48	58	57	34
AL121906.2	0	0	0	0	1	2	0	0	0	0	0	0
NECAB3	3	0	2	0	2	2	0	3	0	4	4	2
C20orf144	0	2	0	0	0	0	0	0	0	2	0	0
ACTL10	4	5	2	0	1	0	0	2	0	4	0	2
AL121906.1	0	0	0	0	0	0	0	0	0	0	0	0
E2F1	3	1	0	1	1	4	4	1	1	0	0	3
PXMP4	10	8	5	2	0	1	4	9	5	10	3	6
AL050349.1	0	0	0	0	0	0	0	0	0	0	0	0
ZNF341	7	9	2	4	1	0	1	9	6	5	4	5
RPL31P2	3	0	2	0	4	0	0	0	1	2	1	4
ZNF341-AS1	0	0	0	0	2	1	0	0	0	3	2	1
CHMP4B	772	1252	1107	619	1731	454	319	939	782	948	803	906
TPM3P2	0	0	0	0	0	0	0	0	0	0	0	0
PIGPP3	0	0	0	0	0	0	0	0	0	0	0	0
RALY-AS1	7	7	9	8	5	9	8	8	6	5	3	5
RALY	64	81	80	80	56	30	27	74	59	65	49	83
AL031668.1	0	0	0	0	0	0	0	0	0	1	0	0
MIR4755	0	0	0	0	0	0	0	0	0	0	0	0
EIF2S2	699	767	891	452	793	176	133	531	547	416	489	829
RPS2P1	0	1	0	0	2	0	1	0	0	0	0	2
AL031668.2	0	0	0	0	0	1	1	0	0	0	2	1
ASIP	0	0	0	0	0	0	0	0	0	0	0	0
XPOTP1	0	0	0	0	0	0	0	0	0	0	0	0
AL035458.2	0	0	0	0	0	0	0	0	1	0	0	0
AL035458.1	1	2	2	0	0	1	0	2	0	1	0	1
AHCY	21	31	25	4	14	8	5	17	5	16	19	23
AL356299.2	0	0	0	0	0	0	0	1	0	0	0	0
AL356299.1	0	0	0	0	0	0	0	0	0	0	0	0
ITCH	52	94	80	22	48	34	32	89	64	60	62	77
Y_RNA	0	1	0	0	1	0	0	4	1	0	0	1
CDC42P1	0	0	0	0	0	0	0	0	0	0	0	0
ITCH-AS1	0	0	0	0	0	0	0	0	0	0	0	0
ITCH-IT1	0	1	0	3	2	0	0	2	2	0	0	0
MIR644A	0	0	0	0	0	0	0	0	0	1	0	0
